DATE,NGDPDSAIXZAQ
1993-01-01,25.9783054668
1993-04-01,26.6839639295
1993-07-01,27.3741273708
1993-10-01,28.0195585951
1994-01-01,29.1836339477
1994-04-01,29.3868431487
1994-07-01,29.5764635891
1994-10-01,30.51886236
1995-01-01,31.5758708378
1995-04-01,32.3136754437
1995-07-01,33.3138655747
1995-10-01,34.3348885051
1996-01-01,34.4408869201
1996-04-01,35.3873068615
1996-07-01,35.8297811543
1996-10-01,36.4197193623
1997-01-01,37.2164656138
1997-04-01,37.9865421461
1997-07-01,38.7925386103
1997-10-01,39.6726818089
1998-01-01,40.1040652335
1998-04-01,41.4582674647
1998-07-01,41.9205738375
1998-10-01,42.6054291633
1999-01-01,43.1290570045
1999-04-01,43.5219142963
1999-07-01,45.0910822093
1999-10-01,45.7400542167
2000-01-01,46.2101430625
2000-04-01,47.7415416595
2000-07-01,49.4955311389
2000-10-01,50.3183927846
2001-01-01,51.0403052697
2001-04-01,51.6494302277
2001-07-01,52.465327007
2001-10-01,53.7729611884
2002-01-01,56.7635788795
2002-04-01,58.2449525511
2002-07-01,59.4471781173
2002-10-01,60.6238615092
2003-01-01,61.391798825
2003-04-01,62.1563029585
2003-07-01,62.8165548803
2003-10-01,63.8023642295
2004-01-01,65.140970534
2004-04-01,65.9578717279
2004-07-01,66.4591557127
2004-10-01,67.691333669
2005-01-01,68.5240721687
2005-04-01,69.1486316815
2005-07-01,70.3086915811
2005-10-01,71.8570685556
2006-01-01,71.6881002975
2006-04-01,73.5962192339
2006-07-01,75.4893376445
2006-10-01,76.2627782057
2007-01-01,78.9865493707
2007-04-01,79.617767734
2007-07-01,80.5656283312
2007-10-01,82.4108716479
2008-01-01,85.0557294743
2008-04-01,85.5979661325
2008-07-01,87.851500839
2008-10-01,88.3740616641
2009-01-01,92.0634465339
2009-04-01,93.510055765
2009-07-01,95.5663271183
2009-10-01,95.7988841535
2010-01-01,97.7464768963
2010-04-01,100.4134237834
2010-07-01,100.2949723322
2010-10-01,101.5451269881
2011-01-01,102.8321031845
2011-04-01,104.659096063
2011-07-01,106.6704597412
2011-10-01,107.999987712
2012-01-01,108.7699334945
2012-04-01,110.0888753723
2012-07-01,110.9638452938
2012-10-01,112.1363341626
2013-01-01,114.6059429526
2013-04-01,116.1898271944
2013-07-01,117.6353768784
2013-10-01,119.3444886012
2014-01-01,121.6045808629
2014-04-01,122.3136441355
2014-07-01,124.0733927618
2014-10-01,124.9032009682
2015-01-01,126.8293829327
2015-04-01,129.7499312429
2015-07-01,130.8642548153
2015-10-01,132.8171989281
2016-01-01,136.1797515369
2016-04-01,138.8893151662
2016-07-01,140.2196907917
2016-10-01,141.1377521873
2017-01-01,143.8390249631
2017-04-01,145.4233260117
2017-07-01,148.0519892331
2017-10-01,149.5372046083
2018-01-01,149.3705643634
2018-04-01,151.9497923149
2018-07-01,153.7921834619
2018-10-01,155.1635166397
2019-01-01,155.8413841024
2019-04-01,158.889073046
2019-07-01,160.9523708932
2019-10-01,162.7759196219
2020-01-01,164.7227545586
2020-04-01,165.2485466928
2020-07-01,168.447728673
2020-10-01,173.3520692255
2021-01-01,174.7853985896
2021-04-01,179.3931200783
2021-07-01,180.1567165014
2021-10-01,181.3928168373
2022-01-01,182.0975847336
2022-04-01,188.7485816003
2022-07-01,189.0325678156
2022-10-01,189.9332138879
2023-01-01,192.275500917
