DATE,NAEXKP02ZAQ189S
1993-01-01,321143918250.0
1993-04-01,329764550250.0
1993-07-01,328209006500.0
1993-10-01,330853331250.0
1994-01-01,335354056750.0
1994-04-01,338627313250.0
1994-07-01,342091806500.0
1994-10-01,346391676000.0
1995-01-01,353786738250.0
1995-04-01,358346271750.0
1995-07-01,363372734500.0
1995-10-01,367707128500.0
1996-01-01,371447177250.0
1996-04-01,375402852000.0
1996-07-01,379020132000.0
1996-10-01,381879984500.0
1997-01-01,385797716250.0
1997-04-01,387978068750.0
1997-07-01,391168335500.0
1997-10-01,391920424000.0
1998-01-01,395468071750.0
1998-04-01,396087854000.0
1998-07-01,396319069000.0
1998-10-01,396117988750.0
1999-01-01,396782020500.0
1999-04-01,401006633000.0
1999-07-01,405064630000.0
1999-10-01,408665118250.0
2000-01-01,413186876000.0
2000-04-01,417782464250.0
2000-07-01,422016882500.0
2000-10-01,425220136000.0
2001-01-01,429024632250.0
2001-04-01,432153395000.0
2001-07-01,435628910250.0
2001-10-01,440021550250.0
2002-01-01,444917222500.0
2002-04-01,445933986250.0
2002-07-01,448035223500.0
2002-10-01,453044605500.0
2003-01-01,454429085500.0
2003-04-01,457071439250.0
2003-07-01,461665240000.0
2003-10-01,469504093500.0
2004-01-01,475832995000.0
2004-04-01,485260136500.0
2004-07-01,494447315500.0
2004-10-01,502121077750.0
2005-01-01,507926650500.0
2005-04-01,514273687500.00006
2005-07-01,522248557250.0
2005-10-01,533284414250.00006
2006-01-01,546878568000.0
2006-04-01,558541087250.0
2006-07-01,570520382000.0
2006-10-01,584140478750.0
2007-01-01,592051565500.0
2007-04-01,598772088250.0
2007-07-01,605268256750.0
2007-10-01,611299754000.0
2008-01-01,609636542250.0
2008-04-01,610205389000.0
2008-07-01,609604594500.0
2008-10-01,607099519500.0
2009-01-01,599161462250.0
2009-04-01,593109815000.0
2009-07-01,591540532000.0
2009-10-01,589605449750.0
2010-01-01,610592623750.0
2010-04-01,623903170250.0
2010-07-01,635211409500.0
2010-10-01,638666712250.0
2011-01-01,645372756750.0
2011-04-01,650047176000.0
2011-07-01,653237043750.0
2011-10-01,661396380750.0
2012-01-01,666228042500.0
2012-04-01,670636193000.0
2012-07-01,677249825500.0
2012-10-01,680143096750.0
2013-01-01,682514827500.0
2013-04-01,684930569000.0
2013-07-01,684218573000.0
2013-10-01,684383821250.0
2014-01-01,685342153500.0
2014-04-01,688036743000.0
2014-07-01,690175293750.0
2014-10-01,692196566250.0
2015-01-01,699575113750.0
2015-04-01,701958482000.0
2015-07-01,705393767500.0
2015-10-01,708283006000.0
2016-01-01,705177745750.0
2016-04-01,706244869250.0
2016-07-01,710469701750.0
2016-10-01,712533606250.0
2017-01-01,710098078250.0
2017-04-01,718426122250.0
2017-07-01,724384916250.0
2017-10-01,730104949250.0
2018-01-01,737699065500.0
2018-04-01,743182942500.0
2018-07-01,743623126000.0
2018-10-01,749686334000.0
2019-01-01,743122088750.0
2019-04-01,752963594000.0
2019-07-01,755487560250.0
2019-10-01,760743023750.0
2020-01-01,764207542250.0
2020-04-01,606939754500.0
2020-07-01,715727862750.0
2020-10-01,740704158750.0
2021-01-01,744421169500.0
2021-04-01,756986585000.0
2021-07-01,734966128000.0
2021-10-01,756203952500.0
2022-01-01,765195216250.0
2022-04-01,765719392250.0
2022-07-01,765202521500.0
2022-10-01,770468124250.0
2023-01-01,773210300250.0
2023-04-01,771259665000.0
